naslov,text
Od tebe ne znam da se oporavim,"Na podu sklupcana sedim celu noc
od straha ne mrdam i ne pokrecem
jer cim ustanem od tvoje stvari
udaram se i saplicem

Da bar sam pijana otreznila bih se
da sam poludela, izlecila bih se
al' bez tebe sam nemocna da idem
a da ne posrcem

Ref.
Od tebe ne znam da se oporavim
sto kvario si ne znam da popravim
pruzam ti ruke da ih milujes
pre smrti da me jos jednom ubijes

Odjednom stize me
sve od cega sam k'o luda bezala
svih ovih godina i naglas zovem te
da me opet prevaris i ostavis

Da bar sam pijana razumela bih to
al' trezna nesrecu dozivam nocas
promenio si me, gotova sam
obuzelo me je zlo

Ref. 2x"
Ona,"Mene zovu ona
imena mi se niko ne seca
svako vece ja sam ovde samo leteca
blokirani filteri za bol
ma super mi je to

Ref.
Dobar klub, ali previse je lica
a ja stari samoubica
dolazim jos jednom po tvoje ne
opet, da se razbijem o tvoje grudi
da mi moje ludilo sudi
svako na svoj nacin prazni se
na svoj nacin

A ti volis nju
Kako prica, ma vidi kako hoda
kakva sminka, ma kakva garderoba
kada gleda bode kao iglama
a ti volis nju

To je roba za pare nekog snoba
kada udje, ma gori cela soba
to je pravi pakao na stiklama

Mene zovu ona, zoves me i ti
al' moj je ego netaknut
izgled vara, nije vazan cilj nego put
ustajem i padam puta sto
ma super mi je to

Ref.

Pogazicu obecanje
sta sam rekla vise-manje
ko bi sebe pored tebe
drzao za rec

Ref. 2x"
Oprostajna vecera,"On dolazi na veceru
na oprostajnu veceru
i ide, znam, druga zena

I sreca meni namenjena
razbi se k'o posuda sa ledom
bas istog trena, on zuri da me tesi
nema vremena

K'o ovu kocku leda nek' me zalede
kad nadju lek za tugu nek' me probude
nek' mi sacuvaju mladost i lepotu
jer volece me mozda on u drugom zivotu

Ref.
Jos borim se za vazduh
 i trezna se teturam
dlanovi se znoje
 i u glavi sve se vrti

Zaledite mi srce
 zaledite mi suze
ja verujem u ljubav 
i posle najduze, najduze smrti

On sa njom ima planove
i zeli da ih prvo ja cujem
bas, lepo od njega

Jer ona ga ne zamara
u svemu mu odgovara 
i kaze bas, istog trena da zuri
 da se svadja, nema vremena

K'o ovu kocku leda nek' me zalede
kad nadju lek za tugu nek' me probude
nek' mi sacuvaju mladost i lepotu
jer volece me mozda on u drugom zivotu

Ref.

Ref."
Oprosti mi suze,"Sutra kada prodje 
sta je noci milo
ti ne pricaj drugovima 
sta je sinoc bilo

Potajno me ljubi 
zaboravi s mesta
al' ne reci nikom 
tajnu naseg mesta

Ref.
Oprosti mi suze
reci mala zdravo
al' ne reci nikad
da si sa mnom spavo

Sutra kada budem 
sama i bez tebe
nasu malu tajnu 
ti cuvaj za sebe

Ref."
Pazi s' kime spavas,"Pazi s' kime spavas
ko se sa mnom budi
osetice sta je zena
kad poludi

Kada jednom se obuces
i zakopcas ego svoj
kasno je da se pitas
zasto, zasto si se skinuo
da cutis kada si lepo saputao

Kada jednom budes nezan
kasno je da budes grub
i da okreces mi ledja
cega bi se stideo
kada si me celu video

Ref.
Pazi s' kim spavas
ko se sa mnom budi
osetice sta je zena
kad poludi

Pazi koga biras
za ulogu zrtve
resices se mene
samo preko mene, mene mrtve

Zvacu tvoju vernu zenu
da joj kazem s kim si sad
i po gradu cu da pricam
da si los u krevetu
zato ti je bolje lezi tu

Pod kozom ti je jos miris moj
moja ti kosa na ramenu
bicu uvek u srcu tvom
kao mac u kamenu

Punu saku svih tableta
u inat cu progutati
budices me, drmaces me
ali ja cu spavati
poruka je jasna, kriv si ti

Ref."
Pepeljara,"Na mapi moga lica znak 
tu gde si me poljubio
okrutan i modar stoji trag
To nije ujed ljubavi
vec samo Judin poljubac 
kad se ljubi 
ko ti nije drag

Tuzna i sama ja cekam  te 
a tebe nema ne javljas se
a onda bacim pogled na sto 
tu imam sve sto je potrebno

Ref.
Ja i pepeljara i tvoja prevara 
ko jedno srce kucamo
i kako casovi bez tebe prolaze 
polako pucamo 

Ja i pepeljara i tvoja prevara
u istoj vatri gorimo
a tebe nema tu 
da prospes pepeo
kada izgorimo

Kad dodjes da ti oprostim
noge od blata obrisi
ostalo ce ona ja to znam
Da kad me opet prevaris 
za tobom vise ne cistim 
svoje ruke da ne uprljam

Tuzna i sama ja cekam  te 
a tebe nema ne javljas se
a onda bacim pogled na sto 
tu imam sve sto je potrebno

Ref."
Pile ,"Ovo je svet za pametnije
ovo je put za neke hrabrije

A moje srce je pile drhti od straha kada grmi
nezno k'o svila na kaldrmi
a moje srce je pile pokislo, zuto i malo
sto je kraj orla jednom zaspalo

Ref.
Nijedan nije ti bio ni blizu niti ce ko
a ja sam sa svakim otisla predaleko
al' ne stignes nigde kada te slome i sruse ti sve
leti dalje sam, dole ne gledaj, ne

Moje suze prema tebi padaju
moje suze prema tebi padaju
moje suze padaju na gore

Ovo je svet za neke vaznije
ovo je put za neke snaznije"
Plan B,"Ej, kad te blize pogledam 
zgodan si i ne
dobar si za jednu noc
al' ne i za dve

Sinoc si me mazio
pa bi hteo jos
danas je moj horoskop 
dobar, a tvoj los

Ref.
Okolina moja zna, okolina ce ti reci
da za tobom, provereno, vene necu seci
ode jedan, dodju dva
proci ce ih jos toliko
a ja drhtim samo kad mi je zima
ne svidja mi se niko

Ej, nemoj da se zanosis
da te zelim ja
ti si samo jedna jos 
lazna uzbuna

Jedan vise promasaj 
greska i plan B
dobar si za jednu noc
al' ne i za dve

Ref.

Ponekad placem da niko ne cuje
jer biti sam, bedno je
ponekad zelim da nekom predam se
ljubav me steze, a ja ne dam se

Ref."
Pogresan broj,"Pogresili ste, pogresan broj
niko ko se tako zove ne zivi vise tu
ne trazite ga, ne poznajem ga
otkud vam ta ideja da sam plakala
spustite, prekinite
mozda me sada pozove

Ref.
Ne trazite mesec u zoru
jer tu ne spada
ne trazite njega kraj mene
ni sad ni nikada

Ne trazite kisu gde gori
jer tu ne pada
ne trazite njega kraj mene
ni sad ni nikada

Ne budite me, zar nemate sat
i tako vec mesec dana nisam spavala
ne trazite ga, ne poznajem ga
otkud vam ta ideja da sam plakala
spustite, prekinite
mozda me sada pozove

Ref.

Ref."
Ponudjen k'o pocascen,"I kada imas me, i kada nemas me
i kada imam te kao da nemam te
ovaj krevet je samo trpeza prazna
ti uvek si sit, a ja uvek sam gladna

I vise volim da, da mi kazes ne
nego da ispadne kao da teram te
jer tvoje je da kao poslednje parce
sto ukusa nema i jedva se zvace

Ref.
I nudim ti se ja
nudim, al' ti me odbijas
ti nista ne trazis
i sve sto neces dobijas

I nudim ti se ja
a ti vec negde posluzen
ma, samo sedi tu
ponudjen k'o pocascen

I kada pustas me, i kada branis mi
nekako preskoci taj zid ljubavi
kad me najmanje zelis, kad se najmanje nadas
zavedem te lako i najbrze padas

Ne navaljujem, al' tako izgleda
uzalud krijem to od tvojih pogleda
sto ko umorni mravi po meni klize
svaki me jede, a nijedan ne grize

Ref. 2x"
Popij me kao lek,"Pusti da budem casa
iz koje pijes 
necu ti dati vise ja 
suze da lijes
(2x)

Ref. 2x
Popij me kao lek 
produzicu ti vek 
uzmi me kao dar 
i nikad neces biti 
sam ni star

Pusti da budem jastuk 
na kome spavas 
jer samo pored mene 
slatko ces da sanjas
(2x)

Ref. 2x

Pusti da budem pesma 
kojoj se divis 
jer uz tu pesmu dragi 
lakse ces da zivis
(2x)

Ref. 2x"
Poziv,"U ovom gradu ti si zver
i ne znam sto se noci te
u srcu alarm nije oglasio
da kaze stani, ne idi
tu gde si poveo me
i za mnom svetla odmah ugasio

Te usne sto pritisle su moje
bile su k'o dugme za samounistenje
i ljubila sam ludo 
kao da mi je poslednje

Ref.
Bio si poziv koji se ne odbija
od nesrece je samo sreca losija
kad treba da vratis je
a tek si se docep'o nje

Taj mi se poziv sad o glavu obija
a ja samo ludja, ludja sto sam starija
i posle tebe ni sa kim 
ja ne mogu da spavam

Tu gde si druge vodio
ti lepo si govorio
moja ljubav lako menjala te
i vec sam decje glasove
ja cula niotkuda
a tebe tako brzo proslo je sve

Ref.

Bio si poziv koji se ne odbija
od nesrece je samo sreca losija
i posle tebe ni sa kim 
ja ne mogu da spavam

Taj mi se poziv sad o glavu odbija
a ja samo ludja, ludja sto sam starija
i posle tebe ni sa kim 
ja ne mogu da spavam"
"Prljavo, prljavo","Da ljubav prenosis
da ljubav prenosis zasto krio si
dzabe sam jutros ja oprala case 
iz kojih pio si

Hiljadu bacila sa dve hiljade krila
na mene je vec sletelo
imuna na ljubav ja nikad nisam bila
na mene si je preneo
a ti, a ti

Ref.
Prljavo, prljavo, igrao si na kvarno
a ja mislila s tobom cu lako
proci cu samo tako
prljavo, prljavo, rekla sam ti ne
znao si, kada popijem malo
pristajem na sve

Da ljubav prenosis
da ljubav prenosis nisam znala ja
dzabe sam jutros ja poljupce tvoje
sa sebe skidala"
Probudi me kad bude gotovo,"Ja sam ono sto zelis
zar uopste jos sumnjas u to
i zato nemoj da delis
tu ljubav svuda okolo

I dok ocima je nocas volis
ja prolazim kroz pravi pakao
necu da budem vise svedok svome bolu
ispod casti mi je to

Ref.
I plakacu, plakacu, plakacu
suzama u boji njene haljine
i zaspacu, zaspacu, zaspacu
probudi me kad bude gotovo sve

I plakacu, plakacu, plakacu
spavaca mi soba sluzi za to
voli je ocima, voli je
probudi me kad bude gotovo

Nikad uspela nisam da se promenim
pustam ti sve
mene mozes da imas
i onda kada povredis me

Ref.

Ref."
Pustite me da ga vidim,"On je bio ljubav moja
prva suza sto je pala
taj sam osmeh na dnu duse
za sav zivot zakljucala

Ref. 2x
Pustite me da ga vidim
da ga vidim, na tren samo
jer nas dvoje jos imamo
jedno drugom, sta da damo

On je bio moja sreca
prvi uzdah sto se ote
sad na njega sve podseca
o nesrecni moj zivote

Ref. 2x

Otiso je ne znam kuda
cija li ga ljubav zvala
al' znam samo da sam njemu
cvet mladosti svoje dala

Ref. 2x"
Radjajte decu,"Dosadno vam je i nema nade
monoton zivot sve je tezi
radjajte decu iz dosade
kad deca dodju dosada bezi

Besni ste i sve vas nervira
na ivici ste teskog stresa
radjajte decu iz cista mira
kad deca dodju nestane besa

Buducnost lepa se sprema
imate sve sto vam drago
al' sta to vredi kad dece nema
deca su najvece blago

Ref. 2x
Radjajte decu, radjajte decu
radjajte, radjajte, radjajte decu

Tuzni ste i nece biti bolje
sve vam se sanse negde skrise
radjajte decu iz mrzovolje
kad deca dodju tuga zbrise

Sami ste pa dani u tami
stalno vrebaju rdja i zloca
radjajte decu, makar i sami
kad deca dodju ode samoca"
Rasulo,"I nocas radi bol za tebe
i dok te zamisljam tu kraj sebe
od srece mogu da skocim u dalj

Al' kada otvorim natekle oci
nista nije u mojoj moci
stvarnost me u glavu lupi kao malj

Ref.
Kao recidiv ti si uvek ziv
u zlo teras me, kako da odbijem te
u ovom rasulu ja dodajem nulu
na svaki moj promasaj
ti likuj i uzivaj

U ovom rasulu ja samo za sebe
na usne stavljam sjaj
da budem lepa za kraj
da budem lepa za kraj

I nocas radi bol za tebe
ocajno zelim te za sebe
nekako imas moje sudbine kod

A kada pogledam zidove bele
iz mojih secanja dolaze strele
i jedna bela ruka pada na pod

Ref.

Hocu da vidim sebe u plavom
u daljini je luka ista za sve
i znam da sam sada na mestu pravom
da konacno svega oslobodim se

A kome ide sve ovo 
kad jednom ne bude me
sve ce to stati u slovo
a tebi ostavljam te

Ja dodajem nulu
za svaki moj promasaj
ti likuj i uzivaj

U ovom rasulu ja samo za sebe
na usne stavljam sjaj
da budem lepa za kraj
da budem lepa za kraj"
Rekom bez vode,"Bilo je vatri, nijedna da ogreje
belih snegova, nijedan da zaveje
suvom rekom bez vode zivot mi ode
na mostu ne platis, platis na cupriji
jer senka sudbine uvek te prati
i da ti nekog istog ko ti

Ref.
Ko mi te je poslao
nece nazad da te primi
nekome si suvisan
sto bas meni jedini

Tesko mi je voleti te
tesko ti je biti zena
al' od svega je najteze
za tebe biti rodjena

Bilo je tajni, nijedna da ispliva
i slatkog raja, drugi da uziva
na vetru staklenih krila ptica sam bila
na mostu ne platis, platis na cupriji
jer senka sudbine uvek te prati
i da ti nekog istog ko ti

Ref.

Odavno nisam pitanje cula
zasto se ne smejes, mala
pa se nasmejem tek da ne bih plakala 
2x"
Rodjen sa greskom,"Probala sam jednom da te promenim
ja kad volim uvek lose procenim
ne krivim te za to za uvrede i kraj
takvi ko ti nikad, nikad ne idu u raj

Ref.
Sta ti vredi rodjen si sa greskom
sve je to u tvojim genima
a ja samo emotivna luda
ceo zivot sa kretenima

Ma sta ti mogu rodjen si sa greskom
sve je to u tvojim genima
a ja samo emotivna luda
ceo zivot sa kretenima

Probala sam jednom da ti verujem
ja kad volim onda i preterujem
ne krivim te za to za uvrede i kraj
takvi ko ti nikad, nikad ne idu u raj

Ref."
Sta je to u tvojim venama,"Izlazim iz tvoga stana
uplakana, uplakana
a znam da je sinoc tamo
opet druga milovana

Sta, sta, sta, sta 

Ref. 2x
Sta je to u tvojim venama
sto te tera drugim zenama
sta je to u muskoj cudi
sto me tera da poludim

Kad te zovem telefonom
zauzeto sve do zore
pa mi srce moje kaze
vodis tajne razgovore

Sta, sta, sta, sta 

Ref. 2x

Oko tebe cura puno
pa mi suze kvase lice
a ti kazes bas si luda
to su moje drugarice

Sta, sta, sta, sta 

Ref. 2x"
Sta jos mozes da mi das ,"Ti me gledas belo ispod obrva 
a ja zurim u prazno 
dajes sve od sebe da ostanem 
nazalost ni pod razno 

Jer ti si sve nase tajne 
drugim ljudima odao 
a mene, mene si prodao 
(2x)

Ref. 2x
Sta jos mozes da mi das 
ako Boga znas
kad mi ne trebas 

Ti i ja smo suprotni polovi 
mi smo sever i jug 
za tebe me vezu samo bolovi 
ne mozes mi biti cak ni drug 

Jer ti si sve moje tajne 
drugim zenama odao 
a mene, mene si prodao
(2x)

Ref. 3x"
Stereo bol,"U suprotnom smeru
vozim dvesta na sat
tuga brza je i peske prestize me
ovo na radiju nasa je pesma, zar ne

Na zadnjem sedistu sa crne haljine cvet
u mojim venama promila vise od pet
samo ta nasa stvar prokleto ziva je
ne bih stala ni da kidam zice
stani pesmo, stani izdajice

Ref.
Kao stereo bol i ove noci blizu si ti
a deset ljubavi jos, daleko si
halo, ima li koga u ovom oblaku nemira
zove te zauvek tvoja Lajka iz svemira

Kroz olujnu noc vozim bez farova
prasina secanja
za mnom podize se
ovo na radiju nasa je pesma, zar ne

Tvoj sat u pregradi je za rukavice
po mokrim staklima krvare musice
samo ta nasa stvar
prokleto ziva je

Ref.

Ref."
Steta za mene,"Stvarno steta za mene
a mogla sam ja da budem sve
a nisam, steta je

Svi su hteli mi dobro
a ja sam birala
za sebe samo najgore

Steta je, steta je
steta za mene
sto znala sam
da sklonim se
drugom da krene

Ref.
Ma ne volis ti mene
kol'ko je meni 
do mene ravno
ja niko sam i nista
al' makar necu
propasti slavno
al' uspela sam, zar ne
da me svi zaborave
pa i ti

Stvarno steta za mene
milion koraka
a cilja nisam imala
steta je

Evo tonem sve dublje
to zivot vuce me
a kako sam samo plivala

Ref.

Evo odbijam da budem prva
na toj pocasti zbogom i hvala
jos tu mrvu sebe ja bih sebi dala

Ref."
Sto put' sam se zaklela,"Kol'ko sam te volela
sto put' sam te proklela
i za dugo cekanje
i za noci besane

Ref. 2x
Sto put' sam se zaklela
da sam tebe volela
i jos sto put' zakleti
da te necu voleti

Ako ces me varati
ja ti necu prastati
srce ce me boleti
ali cu ti vracati

Ref. 2x

Srce cu ti slomiti
jer cu drugog ljubiti
a ti gledaj kako znas
da me vise ne varas

Ref. 2x"
Sto si tako zaboravan,"Sinoc si tako lepo pricao
srce se moje topilo
i ljubav si mi svoju priznao
jutro je sve promenilo

Ref. 2x
Sto si tako zaboravan
kad si sreco tako mlad
sta ce biti kad ostaris
kad pameti nemas sad

Sinoc si najsladje saputao
dok si mi usne ljubio
u zoru nekud si odlutao
i trag ti se izgubio

Ref. 2x

Sinoc sam tvoje ime hvalila
dok smo o sreci mastali
u zoru sliku sam ti spalila
isti si ko i ostali

Ref. 2x"
Sve sto imam i nemam,"Varas, zaboravljas na nas
al' crna oka dva
znaj gledaju u vas

Izmedju tebe i nje
i kada sami ste
nesto moje je

Ruke da odgurnu te
usne da ujedu te

Ref.
Ljubavi, a gde je tu moj znoj
dabogda umro na njoj
ti gresis, a greh je moj
ljubavi, i noc ce proci ta
zauvek ostaces ti
sve sto imam i nemam ja

Varas, zaboravljas na nas
a tisinu tu
razbice moj glas

Ma lazi sebe,lazi nju
al' nesto moje je
i nocas s vama tu

Ref.

Sto bih bacila sad sve
sve te godine truda i cuda
vatre sto nocima budila sam
mir sto suzama kupila sam
stegnem zube, predomislim se
da imam srce, zaboravim se
da imam srce

Ref."
Sve u svoje vreme,"Nana kaze pazi se
momci su mangupi
svi bi da poljube 
pa da se izgube
(2x)

Ref. 2x
Sve u svoje vreme
nek ne brine nana
od takvih mangupa
cuvat cu se sama

Nana kaze mlada sam
momci su mangupi
ako se zaljubim
pamet da ne gubim
(2x)

Ref. 2x

Nana kaze lepa sam
momci su mangupi
ne veruj sto kazu
jer svi momci lazu
(2x)

Ref. 2x"
Svice dan,"Nema vatre u kaminu
da nas ogreje
ni jacine u tom vinu
da nas napije

Izgubismo jednu ljubav
a dobili dve
svako svoju kad sabere
manje nego pre

Ref.
Svice dan, ko ruzan san
sudnji dan
zadnja nam zora
zadnja ljubomora

Lutalice bolje zive
nego ti i ja
njima noge negde idu
nase nikuda

Izgubismo jednu ljubav
a dobili dve
svako svoju kad sabere
manje nego pre

Ref."
Tacno je,"Tacno je nisam bila cvece
rastanak boleti te nece
tacno je, gresila sam jako
ziveces ti bez mene lako

Tacno nisam ja mala
da stetu nikom ne bih priznala
najlepsu lutku ja sam razbila
ja sam sve lepo upropastila

Tacno je da sam
ponekad vise popila
da sam se s nekim drugim topila
i tvoje snove sve potopila

Ref.
Tacno je
sa tobom nisam umela
sa tobom nisam uspela
jer sam te ludo volela

Tacno je da sam sebicna
ponekad mozda obicna
ali za jedno priznaj mi
bila sam ti odlicna

Za tvoje mane prakticna
za bolje dane tragicna
ali za jedno priznaj mi
bila sam ti odlicna

Tacno je da sam bila teska
tesi se bila sam ti greska
tacno je ako ti to znaci
sad samoj sebi kazem placi

Tacno nisam ja mala
da stetu nikom ne bih priznala
najlepsu lutku ja sam razbila
ja sam sve lepo upropastila

Tacno je da sam
ponekad vise popila
da sam se s nekim drugim topila
i tvoje snove sve potopila

Ref.

Tacno nisam ja mala
da stetu nikom ne bih priznala
najlepsu lutku ja sam razbila
ja sam sve lepo upropastila

Tacno je da sam
ponekad vise popila
da sam se s nekim drugim topila
i tvoje snove sve potopila

Ref."
To Miki,"Onoga dana kad smo se sreli
bese nam jasno ljubav smo hteli
i nikog nismo videli mi
samo smo bili, samo smo bili, ja i ti
(2x)

Ref. 2x
Zvao si me mala Liki
a ja tebe samo Miki
brojali smo poljupce
u minutu sto, sto, sto
to Miki to, to Miki to

Naidje tako to cudno doba
kada se zeli ljubav da proba
naidju tako godine lude
kad usne zele, kad usne zele, da ljube
(2x)

Ref. 2x

Zivot je lep i nema kraja
pred nama vrata od samog raja
i nikog nismo videli mi
samo smo bili, samo smo bili, ja i ti
(2x)

Ref. 2x"
Trazio si sve,"Trazio si sve, sve sam ti dala
tebi reci ""Ne"", nikad nisam znala
citav moj si svet
za druge necu da znam

Zaveo si me, lepo si to znao
ljubila sam te, srce si mi krao
jasno mi je sve
sad kad ostavljas me

Ref.
Ja te volim, od ljubavi sva gorim
paticu i plakacu, al' necu da molim
ja svoje srce i sve sam ti dala
a od tebe ni oprosti, ni hvala

Ja te ljubim, al' znam da te gubim
jos uvek sanjam da srecna se budim 
s' gorkim suzama, s' mukom se borim
umrecu radje, al' necu da molim

Zaklinj'o si se, ljubav obecav'o
nadala sam se, snagu si mi dav'o
kao nikad pre
sanjala sam nestvarne sne

Uzeo si sve, lazi si mi dao
izgubila sam sve, i nije mi zao
imala sam bar
jedno ludo mastanje i zar

Ref.

Ref."
Trepni,"Trep, trep, trep, trep
trepni, trepni, trepni

I nece me biti i zaspace nade
kao jaganjci gladne
al' vuci ce makar
i na tren bar biti siti

Trep, trep, trepni, trepni
ma samo trepni 
i ja cu za tebe da umrem
i sve ce da ti krene
meni su ruke odsecene

Ref.
Mozda sam rodjena, rodjena
vredna pomena
a ti odrekni se javno moga imena
veruj drugima kada ti mene ogade
mrzi mene, a ljubav ne

Negde imaces decicu da te nauce
da oni pravi nikad ljubav ne muce
veruj drugima kada ti mene ogade
mrzi mene, a ljubav nemoj, ne

Ref.

Ref."
Trula visnja,"Iz tasne ruz pade na pod
od soka kad te videh, da lezis kraj nje
i razbi se poslednji kliker
mog nadanja da sanjam to sve
u zlo doba puce k'o iz pakosti
lastis moje hrabrosti

Ref.
Pala sam u zoru, pala
vise nisam izdrzala
sad neka mi iz knjige rodjenih ime brisu
na tom mestu gde sam pala
ostala je mrlja mala
kao da je neko zgazio trulu visnju

Opsovah je i gurnuh je
onako kako umem ja zenstveno
al' odbi me taj tvoj pogled
pun mrznje i baci na tlo
radujte se duse, sitne, prodane
od iste ste rdje skovane

Ref.

Ta ista ja sto je blistala
do samih zvezda se dizala
sad tu puzim pred tobom
i njom, ta ista ja

Slomljenih dugih noktiju
i pocepanih carapa
u taj se prizor
ne uklapa, ista ja

Ref."
Turbulentno,"Osim sto spavas sa njom sve je super
i sto me treci dan vec nisi zvao
i sto bi drugima ti mene dao 
ti inace si fer i sve je super

Ref.
Boli ovaj sto, boli moje drustvo blesavo
sto bez tebe sedim celu noc
pa me tese, nude mi pomoc
a meni super

Bas je super dim, bas se dobro provodim
uopste te ne vidim, pukla sam kompletno
ljubav ili sok, sta je znacu sutra ja
nocas mi je sve turbulentno

Osim sto je viski dzin i to bez leda
i sto u oci me ta tvoja gleda
i sto sam prosula po sebi puder
inace sve je full i sve je super

Ref.

Ref."
U snu ljubim medna usta (duet Keba),"Sanjao sam nocas 
jedno crno oko
leteo sam u snovima
visoko, visoko 

Sanjala sam nocas
jedno crno oko
letela sam u snovima
visoko, visoko

Ref. 2x
U snu ljubim medna usta
eh, ljubavi, zeljo pusta

Plakalo je jutros
jedno crno oko
tonuo sam u ponore
duboko, duboko 

Plakalo je jutros
jedno crno oko
tonula sam u ponore
duboko, duboko

Ref. 2x

Ref. 2x

Eh, ljubavi, zeljo pusta"
Udace se suze moje,"Hej zvono je zazvonilo
meni je odzvonilo
 otvorio si vrata

Hej rekao gosti su mi tu 
idi, dodji ujutru
ja usla iz inata

Tu cula sam njen glas 
i samo vrisnula 
u sebi naglas

Ref.
Udace se suze moje
kumovace njima tvoje
lazi sto si pricao
medju prvima ces mili
saznati to

Pozvacu te, ti ces doci
da odolis neces moci
da me vidis, znam i sto
moju propast nikad ne bi
propustio


Hej svetlo se upalilo
u meni sve se smracilo
 otvorio si vrata

Ref."
Usnule lepotice,"Ti stvarno mislis
da si nezni princ
na belom konju
Malo je sada kasno
za nas dvoje

Produzi dalje
mozda sebi nadjes
neku bolju
Za mene bajke
vise ne postoje

Ja nisam heroina 
nekog starog nemog filma 
i nista nece biti od romanse 
Neka bi druga bila cak 
i srecna da te ima 
Al nasa ljubav 
veruj, nema sanse 

Ne glumi 
odavno nestale su 
usnule lepotice 
I cuti ti nudis 
a ja necu tvoje 
lazne poljubce 
Ne glumi 
odavno nestale su 
usnule lepotice 
I cuti ti nudis 
a ja necu tvoje 
lazne poljubce 

Ti sanjaj svoje snove 
samo tako mozes naci 
poljubce vrele 
kada zora svice 
ja nemam nadu 
da se nebo moze 
srcem taci 
sve sto smo duze 
samo gore bice "
"Ustani, budi se","Evo vec je devet
uveliko mrak
a ti grlis krevet
to je rdjav znak
(2x)

Ref.
Ustani, budi se i zaljubi se
devojke cekaju, svakoj ljubi se
ustani, budi se ceo svet je nas
devojke zovu te, pokazi im sta znas

Evo vec je deset
svud se sapuce
a ti mesto mene
grlis jastuce
(2x)

Ref.

Evo vec je ponoc
zabavlja se grad
a ti samo spavas
zasto kad si mlad
(2x)

Ref."
Vazduh koji disem,"Vazduh koji disem 
ne treba mi, ne
kol'ko usne tvoje 
sto me ne ljube 

Ref.
Ne treba mi niko 
pustite me svi 
idite, idite od mene 
pevajte, pijte, ljubite se 
idite, idite u zivot 
njegovo nista meni je sve 

Voda koju pijem 
ne treba mi, ne 
kol'ko ruke tvoje 
sto me ne grle

Ref."
Vec vidjeno,"Ti bi da me nocas
opet rasplaces pred svetom
recima da seces
moje vene k'o ziletom

Da me od vesele pretvoris u tuznu 
da me od najlepse pretvoris u ruznu
o, sve je to s tobom vec vidjeno

Ref.
Mozes da me milujes
mozes da me silujes
mozes da me ubijes
svejedno je

Nema vise milosti
moju ruku vodi Bog
nocas zrtva drzi mac
dzelata svog

Sta ces da mi radis
sto vec radio mi nisi
dvoboje bez casti
samo nastavio ti si

Ti bi od normalne napravio ludu
i da me sigurnu ostavis u cudu
o, sve je to s tobom vec vidjeno

Ref.

Ref."
Veliko srce,"Veliko je srce moje
a ja bih ga samo tebi dala
kako moze da se voli
verovala nisam, nisam ni znala
(2x)

Ref. 2x
Veliko srce u meni ima
srce sto mnogo voleti zna
pitam se pitam kad volim tako
da li sam ja sa srca dva

Veliko je srce moje
veliko je kao sunce s' neba
zeli uvek da te greje
i zauvek tebi da se preda
(2x)

Ref. 2x

Veliko je srce moje
a ja bih ga samo tebi dala
kako moze da se voli
verovala nisam, nisam ni znala
(2x)

Ref. 2x"
"Vidimo se, daso","Vece, guzva preko mosta
vidim svega ti je dosta
meni svega malo je

Meni se i nocas zivi
ludilo u perspektivi
da spavam rano je

Od svojih sam tajni gora
ne trebas mi da se slomim
meni treba neko
 koga ne moram da molim

Ref.
Vidimo se, daso
vidimo se, svud se cuje muzika iz kola
taksi sms-om zvala sam do pola
idem sama, gde su nocas svi

Svega mi je malo
izlazaka, love, seksa, cujes li budalo
jos ni pola u moj zivot nije stalo
i po mene vise ti ne dolazi

Pune usne, ruke gole
idem tamo gde me vole
tu je najbolje

Ref.

Ti si kriv kad sebi nisam lepa
ti si kriv sto sam tako bleda
i ti si kriv sto kraj tebe mene nema

Ref."
Viski,"Mala nocna navika
vec me hvata panika
niko me jos nigde nije pozvao
idem sama, nema sta
sta se ovde desava
kakva guzva, kakvo je to ludilo

Da li da se vratim, sve me nervira
pomeri se bar da prodjem ja

Ref.
Sipaj viski preko malo leda
hajde, ljuljaj, ljuljaj, tako treba

Evo, stojim ceo sat
dripci disu mi za vrat
malo me je sve to vec umorilo
nikog ne znam, a sve znam
tako je to kad si sam
kao da se ovo vec dogodilo

Ti si treci sto me pita
s kim sam dosla, gde cu posle
i da li mi je mozda malo, malo vise dosadno
ti si treci koga lazem
da sam s nekim, da sam posla
i da mi je ovo trebalo

Ref."
"Volela sam, volela","Trazim drugog, al' srce nece
nece ni da zna, nece ni da zna
ljubim drugog, al' srce pati
pati ko da zna, pati k'o da zna

Ref. 2x
Volela sam, volela, volela sam ga
cekala sam, cekala, srce da mi da

Kog' da trazim kad njemu dadoh
sve i ostah sama, sve i ostah sama
sta da nudim kad njemu dadoh
sve i ostah sama, sve i ostah sama

Ref. 2x

Opet kad bih rodila se
njemu sve bih dala, njemu sve bih dala
jos jednom kad bih ja da biram
drugog ne bih zvala, drugog ne bih zvala

Ref. 2x"
Volim te,"Zelim te, tako te silno zelim
al' reci dve ne mogu reci sve
kol'ko bi rekle usne
kad bi te ljubile
(2x)

Ref. 2x
Volim te, tako te ludo volim
al' reci dve ne mogu reci sve
kol'ko bi rekle ruke
kad bi te grlile

Trebas mi, tako mi jako trebas
al' reci dve ne mogu reci sve
kol'ko bi reklo telo
kad bi te volelo
(2x)

Ref. 2x

Veruj mi, tebi cu dati sve
dodji sto pre, srce mi umire
noci su moje hladne
dodji i uzmi me
(2x)

Ref. 2x"
