naslov,text
Djacki spomenari,"Na svetu postoji mnogo lepih stvari
al' su najlepsi djacki spomenari
u njih se zapise 
kako je u skoli
ko se sa kim druzi 
i ko koga voli

Ref.
Lete dani kao ptice 
brzo rastu devojcice
ko cvetovi neki plavi 
i sanjaju o ljubavi

Spomenari kriju neke zelje sjajne
u njima su pesme 
i ljubavne tajne
sve u njima stoji 
sve u njima pise
ko se voli malo
a ko ponajvise

Ref.

U te knjige djacke 
sve ljubavi stanu
Vesna voli Vladu, Vlada voli Anu
i to meni pise 
necu da vas lazem
al' njegovo ime
ne smem da vam kazem"
Dobro sam prosla,"Ukus opasnosti
 trenutak slabosti
u sebi kazem ti izvini

Mozda sam zelela
vise od stvarnosti
al' to me nevinom ne cini

Dobro sam prosla
spavao si kada sam dosla
moju tajnu nece saznati
nikad niko

Ref.
Ako me pitas kada sam se vratila
reci cu ti odavno
slagacu te k'o iz topa
i njegov broj pocepacu i bacicu
samo ja cu znati tacno gde
kao pas kad kost zakopa

Bio je usamljen
 bio je ostavljen
sa takvim najlakse sve zgrese

Zena za utehu 
bila sam prvi put
do tada sam trazila da me tese

Ref.

Ref."
Dobrotvorne svrhe,"Sa njom ti je vidim bolje
a nocas sam dobre volje
pogled cu svoj da spustim
i zauvek te pustim

Pojescu svoje suze
i usput svasta stetno
ne boj se, ne boj se
ja paticu diskretno

Ref.
Pozeli mi bar srecu
da prihvatim je necu
u dobrotvorne svrhe
daj sto bi meni

Ja zivecu i dalje
od svojih ideala
jer da od tebe zivim
ja ni jutro ne bih docekala

Sad kad me gledas tako
k'o sto me gleda svako
ne vredi ni da zemlju
zavrtim naopako

Ref. 

Srecna sto ziva sam
opet ubijam se dok gledam te
pa zazmurim 
i zamislim da si sam
svecanu notu svemu dam
ne umire se za nekim svaki dan

Ref."
Dodji,"Tebi je svejedno
sto si me suzama dao
otkad se nisam nasmejala
kad bi znao, eh kad bi znao

Ref. 2x
Dodji, uzmi me od hladnih noci
dodji, jer niko nece doci
jer niko nece moci meni
tebe da zameni

Volis li ti mene
da l' ti je bar malo zao
koliko sam noci proplakala
kad bi znao, eh kad bi znao

Ref. 2x

Jos ti se ja nadam
kao spas u pustoj noci
kakvim si me to nocima dao
kad bi znao, eh kad bi znao

Ref. 2x"
Dokaz,"Imas ruke kao svestenik
a srce bez milosti
tvoja ruka zna da miluje
al' ne zna da oprosti

Ref.
Dokaz, ja sam ti zivi dokaz
kad dvoje ljubav ubiju
samo jedan kaznu snosi

Dokaz, dacu ti zivi dokaz
kada ti budu javili
da voda nesto nosi

Imas lice kao andjeo
a krv ti je necista
krevet ti na cvece mirise
a dusa na zgarista

Ref.

Ref.

Ref."
Doktor,"Juce sam bila prvi put kod doktora
i cik pogodi sta mi je rekao
ostavi tu budalu, svaki drugi bi 
se takvoj zeni vec odavno predao

Otada nocu skitam, spavam ceo dan
kazu mi da sam nacisto posrnula
kafane, diskoteke, zurke, splavovi
ma ja sam samoj sebi u lice pljunula

Ref. 2x
Dok u znoju bilo koju
nocas negde mazis
ja bih opet bila tepih
po kome ti gazis

Danas sam bila drugi put kod doktora
i dao mi je neke roze pilule
nema te doze, nema sile, magije
sto bi sa moga srca cini skinule

Ponekad nekog sretnem, odlepim za tren
pomislim ima nade, mozda proslo je
ali se djavo javi u gorem obliku 
jer moja ljubav stvarno besmrtna je

Ref. 2x

Ref. 2x"
Dragane moj,"Kosu nisam odsekla
jos za tobom pustam je neka raste
i nisam se pomakla
jos sa mesta s kog su te povele laste

Ref.
Dragane moj kad dodjes ti
kada zagrme trube i sve zadrhti
Dragane moj kad dodjes ti

Cuce se, a i znace
Bog i mene pogledace
pascu ti u zagrljaj
pasce mrak sa sunca
a i meni kamen ce sa srca

Ispadam iz koraka
preti da me zacara tvoja soba
kad te vidim, vidim sve
jutro kom se ne svice ma svanuti mora

Ref.

Ref."
"Drugarice, prokletnice","Bile smo nas dve najbolje druge
ko sestre rodjene
da ljubis istog ja nisam znala
krila si od mene
2x

Ref. 2x
Drugarice, prokletnice
sta ucini ti
sta ti znaci u zivotu
saka ljubavi

Sve moje tajne dobro si znala
sve sam ti pricala
a ti si htela da budem bolna
ti si me izdala
2x

Ref. 2x

Ti njemu drugo nista ne znacis
to moje srce zna
jer njega nece voleti niko
ko sto ga volim ja
2x

Ref. 2x"
"Eh, tesko meni","Placem, placem od bola 
Niz lice suze beze 
Ima li ista sreco 
Od naseg rastanka teze 

Ref.
Eh, tesko meni 
Suza za suzom lije 
Nikad mi u zivotu 
Teze bilo nije 

Placem, placem u dusi 
Sve me za tebe veze 
Ima li ista sreco 
Od naseg rastanka teze 

Ref.

Placem, placem za tobom 
U dusi bol me steze 
Ima li ista sreco 
Od naseg rastanka teze 

Ref."
"Eto, eto prodje leto","Eto, eto prodje leto
stize rana jesen
momci mladi meni dragi
nude zlatan prsten
(2x)

Ref. 2x
A ja cura mala
jos bih cvece brala
necu da mi prsten stave
neka me ostave

Pricekajte tog proleca
neka zima prodje
kod koga je ljubav jaka
opet ce da dodje
(2x)

Ref. 2x

Od jeseni do jeseni
varacu vas ja
al' kad dodje pravo vreme
udacu se ja
(2x)

Ref. 2x"
